speciesId,scientificName,commonNameEn,commonNameHi,region,nativeStates,co2AbsorptionPerYear,matureHeight,waterNeeds,sunlight,soilType,description
himalayan-deodar-001,Cedrus deodara,Deodar,Deodar,himalayan,"Himachal Pradesh|Uttarakhand",18,40,medium,full,well-draining loam,Evergreen conifer suited for high altitude.
himalayan-oak-002,Quercus semicarpifolia,Himalayan Oak,Banjh,himalayan,"Uttarakhand|Himachal Pradesh",25,25,medium,full,loamy,Native broadleaf important for mountain biodiversity.
himalayan-rhododendron-003,Rhododendron arboreum,Rhododendron,Buransh,himalayan,"Sikkim|Arunachal Pradesh",12,12,medium,partial,acidic loam,Flowering native species for mountain ecosystems.
himalayan-walnut-004,Juglans regia,Walnut,Akhrot,himalayan,"Jammu and Kashmir|Himachal Pradesh",20,20,medium,full,deep loam,Edible nut tree with solid canopy.
himalayan-apple-005,Malus domestica,Apple,Seb,himalayan,"Himachal Pradesh|Uttarakhand",15,8,medium,full,well-draining loam,Fruit tree adapted to cooler climates.
himalayan-ash-006,Fraxinus floribunda,Himalayan Ash,Angu,himalayan,"Uttarakhand|Sikkim",22,24,medium,full,loam,Fast-growing deciduous species.
himalayan-silveroak-007,Grevillea robusta,Silver Oak,Silver Oak,himalayan,"Uttarakhand|Himachal Pradesh",19,30,medium,full,well-draining,Shade and timber value in hill regions.
himalayan-birch-008,Betula utilis,Birch,Bhojpatra,himalayan,"Uttarakhand|Ladakh",16,15,medium,full,mountain soil,High-altitude culturally significant tree.
coastal-coconut-009,Cocos nucifera,Coconut,Naariyal,coastal,"Kerala|Tamil Nadu|Goa",8,25,high,full,sandy loam,Coastal palm with food and livelihood value.
coastal-mangrove-010,Avicennia alba,Mangrove,Chak keora,coastal,"West Bengal|Odisha",25,10,high,full,saline mud,Coastal defense and fish nursery habitat.
coastal-casuarina-011,Casuarina equisetifolia,Casuarina,Jhau,coastal,"Odisha|Andhra Pradesh|Tamil Nadu",17,20,low,full,sandy,Windbreak species for coastlines.
coastal-pongamia-012,Millettia pinnata,Pongamia,Karanj,coastal,"Maharashtra|Kerala|Andhra Pradesh",18,15,low,full,well-draining,Nitrogen-fixing multipurpose tree.
coastal-neem-013,Azadirachta indica,Neem,Neem,coastal,"Gujarat|Maharashtra|Tamil Nadu",21,18,low,full,well-draining,Drought-tolerant medicinal tree.
coastal-teak-014,Tectona grandis,Teak,Sagwan,coastal,"Maharashtra|Odisha|Karnataka",23,30,medium,full,deep loam,High-value timber species.
coastal-mango-015,Mangifera indica,Mango,Aam,coastal,"Maharashtra|Goa|Kerala",19,20,medium,full,loam,Popular fruit tree with dense canopy.
coastal-jackfruit-016,Artocarpus heterophyllus,Jackfruit,Kathal,coastal,"Kerala|Karnataka|Tamil Nadu",20,20,medium,full,rich loam,Large fruit tree with good carbon storage.
desert-neem-017,Azadirachta indica,Neem,Neem,desert,"Rajasthan",21,18,low,full,sandy loam,Heat and drought tolerant.
